id,prodi,semester,kode,nama,sks,created_at,id_matkul,id_dosen,create_at,id_waktu,id_kelas,jam_mulai,jam_akhir,id_hari,id_ruangan
941,1,1,11118102,Bahasa Inggris I,2,2025-05-26 07:43:07.517818+00,3,60,2025-05-26 07:53:05.593062,2,1,,,,
943,1,1,11318107,Penget. Bahan Teknik,3,2025-05-26 07:43:07.517818+00,4,30,2025-05-26 07:53:32.550305,1,1,,,,
944,1,1,11218105,Kimia Dasar,2,2025-05-26 07:43:07.517818+00,5,59,2025-05-26 07:54:11.629262,1,1,,,,
945,1,1,11218105,Kimia Dasar,2,2025-05-26 07:43:07.517818+00,5,59,2025-05-26 07:54:20.848949,2,1,,,,
947,1,1,11218104,Matematika I,3,2025-05-26 07:43:07.517818+00,7,61,2025-05-26 07:55:01.647318,2,1,,,,
948,1,1,11218103,Fisika I,3,2025-05-26 07:43:07.517818+00,8,46,2025-05-26 07:55:06.768318,2,1,,,,
949,1,1,11318108,Proses Manufaktur I,2,2025-05-26 07:43:07.517818+00,6,13,2025-05-26 07:55:16.297483,1,1,,,,
951,1,1,11218103,Fisika I,3,2025-05-26 07:43:07.517818+00,8,46,2025-05-26 07:55:26.834687,1,1,,,,
968,1,3,11118301,Pend. Kewarganegaraan,2,2025-05-26 07:43:07.517818+00,9,35,2025-05-26 08:07:15.397107,2,1,,,,
970,1,3,11218302,Teknik Tenaga Listrik,3,2025-05-26 07:43:07.517818+00,10,58,2025-05-26 08:07:34.89867,2,1,,,,
971,1,3,11218302,Teknik Tenaga Listrik,3,2025-05-26 07:43:07.517818+00,10,58,2025-05-26 08:07:42.778542,2,2,,,,
972,1,3,11218303,Matematika Rekayasa,3,2025-05-26 07:43:07.517818+00,11,61,2025-05-26 08:07:56.841906,2,1,,,,
974,1,3,11318304,Prakt. Mesin dasar,2,2025-05-26 07:43:07.517818+00,12,33,2025-05-26 08:08:27.889195,2,1,,,,
975,1,3,11318304,Prakt. Mesin dasar,2,2025-05-26 07:43:07.517818+00,12,13,2025-05-26 08:08:37.606696,2,2,,,,
976,1,3,11318305,Termodinamika ,3,2025-05-26 07:43:07.517818+00,13,33,2025-05-26 08:08:52.525376,2,1,,,,
978,1,3,11318306,Mekanika teknik II,3,2025-05-26 07:43:07.517818+00,14,24,2025-05-26 08:09:21.463798,2,1,,,,
979,1,3,11318306,Mekanika teknik II,3,2025-05-26 07:43:07.517818+00,14,24,2025-05-26 08:09:28.108091,2,2,,,,
980,1,3,11318307,Teori dan Prak  PLC,3,2025-05-26 07:43:07.517818+00,15,25,2025-05-26 08:09:38.659578,2,1,,,,
982,1,3,11318307,Teori dan Prak  PLC,3,2025-05-26 07:43:07.517818+00,15,25,2025-05-26 08:09:51.171836,2,2,,,,
983,1,3,11318308,Metrologi Industri,2,2025-05-26 07:43:07.517818+00,16,25,2025-05-26 08:09:55.941425,2,2,,,,
984,1,5,11118501,Statistik Industri,2,2025-05-26 07:43:07.517818+00,17,44,2025-05-26 08:10:46.742344,2,1,,,,
986,1,5,11318503,Mekanika Fluida II,3,2025-05-26 07:43:07.517818+00,19,13,2025-05-26 08:11:46.602883,2,1,,,,
987,1,5,11318504,Pesawat Pengangkat,2,2025-05-26 07:43:07.517818+00,20,12,2025-05-26 08:12:01.090094,2,1,,,,
988,1,5,11318505,Mesin Konversi Energi,3,2025-05-26 07:43:07.517818+00,21,33,2025-05-26 08:12:23.890145,2,1,,,,
990,1,5,11318507,Elemen Mesin II,3,2025-05-26 07:43:07.517818+00,23,26,2025-05-26 08:12:39.412493,2,1,,,,
991,1,5,11318508,Kinematika dan Dinamika,3,2025-05-26 07:43:07.517818+00,24,33,2025-05-26 08:12:47.184284,2,1,,,,
992,1,7,11415701,Prakt. Prestasi Mesin,2,2025-05-26 07:43:07.517818+00,25,13,2025-05-26 08:14:21.64065,2,1,,,,
994,1,7,11315703,Motor Pembakaran Dlm,3,2025-05-26 07:43:07.517818+00,27,13,2025-05-26 08:17:33.48973,2,1,,,,
995,1,7,11315704,Teknik Pembentukan,3,2025-05-26 07:43:07.517818+00,28,24,2025-05-26 08:17:44.937985,2,1,,,,
997,1,7,115006,Penulisan Ilmiah,2,2025-05-26 07:43:07.517818+00,30,58,2025-05-26 08:18:51.051886,2,1,,,,
998,1,7,11315707,Pesawt Pengangkat,2,2025-05-26 07:43:07.517818+00,31,12,2025-05-26 08:19:04.618448,2,1,,,,
999,2,1,12218143,PENGENALAN KOMPUTER,3,2025-05-26 07:43:07.517818+00,62,40,2025-05-26 08:20:57.377458,1,1,,,,
1001,2,1,12218162,RANGKAIAN DIGITAL,2,2025-05-26 07:43:07.517818+00,64,27,2025-05-26 08:21:29.441586,1,1,,,,
1002,2,1,12218191,PRAKTIKUM RANGKAIAN DIGITAL,1,2025-05-26 07:43:07.517818+00,65,27,2025-05-26 08:21:35.967673,1,1,,,,
1003,2,1,118132,BAHASA INGGRIS 1,2,2025-05-26 07:43:07.517818+00,66,15,2025-05-26 08:21:46.439232,1,1,,,,
1005,2,1,12218152,MATEMATIKA 1,2,2025-05-26 07:43:07.517818+00,70,3,2025-05-26 08:22:27.05444,1,1,,,,
1006,2,1,12218113,PROGRAM APLIKASI,3,2025-05-26 07:43:07.517818+00,71,48,2025-05-26 08:22:45.699523,1,1,,,,
1007,2,1,12218172,RANGKAIAN LISTRIK,2,2025-05-26 07:43:07.517818+00,67,20,2025-05-26 08:22:56.276949,1,1,,,,
1009,2,1,12218143,PENGENALAN KOMPUTER,3,2025-05-26 07:43:07.517818+00,62,40,2025-05-26 08:23:24.536746,2,1,,,,
1010,2,1,12218123,ALGORITMA PEMROGRAMAN,3,2025-05-26 07:43:07.517818+00,63,49,2025-05-26 08:23:45.461587,2,1,,,,
1011,2,1,12218162,RANGKAIAN DIGITAL,2,2025-05-26 07:43:07.517818+00,64,27,2025-05-26 08:23:57.935527,2,1,,,,
1013,2,1,118132,BAHASA INGGRIS 1,2,2025-05-26 07:43:07.517818+00,66,15,2025-05-26 08:24:22.748609,2,1,,,,
1014,2,1,12218172,RANGKAIAN LISTRIK,2,2025-05-26 07:43:07.517818+00,67,20,2025-05-26 08:24:35.752546,2,1,,,,
1015,2,1,12218101,PRAKTIKUM RANGKAIAN LISTRIK,1,2025-05-26 07:43:07.517818+00,68,20,2025-05-26 08:24:40.217026,2,1,,,,
1017,2,1,12218152,MATEMATIKA 1,2,2025-05-26 07:43:07.517818+00,70,3,2025-05-26 08:25:06.239191,2,1,,,,
1018,2,1,12218113,PROGRAM APLIKASI,3,2025-05-26 07:43:07.517818+00,71,48,2025-05-26 08:25:21.658413,2,1,,,,
1019,2,3,12218373,PROG LOGIC CONTROL 2,3,2025-05-26 07:43:07.517818+00,72,45,2025-05-26 08:26:02.253768,2,1,,,,
1021,2,3,12218382,RANGKAIAN ELEKTRONIKA,2,2025-05-26 07:43:07.517818+00,74,20,2025-05-26 08:26:18.64335,2,1,,,,
1022,2,3,12218391,PRAK RANGKAIAN ELEKTRONIKA,1,2025-05-26 07:43:07.517818+00,75,20,2025-05-26 08:26:23.037219,2,1,,,,
1024,2,3,12218353,TROUBLESHOOTING KOMPUTER,3,2025-05-26 07:43:07.517818+00,77,40,2025-05-26 08:27:12.851125,2,1,,,,
1025,2,3,12218333,PEMROGRAMAN TERSTRUKTUR,3,2025-05-26 07:43:07.517818+00,78,14,2025-05-26 08:27:24.771294,2,1,,,,
1026,2,3,12218363,MIKROPROSESSOR,3,2025-05-26 07:43:07.517818+00,79,40,2025-05-26 08:27:33.936772,2,1,,,,
1028,2,5,12218512,KOMUNIKASI DATA,2,2025-05-26 07:43:07.517818+00,81,27,2025-05-26 08:28:21.032987,2,1,,,,
1029,2,5,12218533,SISTEM DATABASE,3,2025-05-26 07:43:07.517818+00,82,14,2025-05-26 08:28:32.102889,2,1,,,,
1030,2,5,12218543,PEMROGRAMAN WEB,3,2025-05-26 07:43:07.517818+00,83,50,2025-05-26 08:28:41.540028,2,1,,,,
1032,2,5,12218572,TATA TULIS KARYA ILMIAH,2,2025-05-26 07:43:07.517818+00,85,14,2025-05-26 08:28:57.620826,2,1,,,,
1033,2,5,12218481,PRAKT. ELEKTRONIKA INDUSTRI,1,2025-05-26 07:43:07.517818+00,86,45,2025-05-26 08:29:09.536616,2,1,,,,
1034,2,5,12218523,ROBOTIKA,3,2025-05-26 07:43:07.517818+00,87,40,2025-05-26 08:29:16.849564,2,1,,,,
1036,3,1,13218101,Kalkulus I,3,2025-05-26 07:43:07.517818+00,115,3,2025-05-26 08:30:33.252897,1,1,,,,
1037,3,1,13118003,Pancasila,2,2025-05-26 07:43:07.517818+00,116,35,2025-05-26 08:30:55.749738,1,1,,,,
1038,3,1,13118007,Bahasa Inggris I,2,2025-05-26 07:43:07.517818+00,111,15,2025-05-26 08:31:41.543384,1,1,,,,
1040,3,1,13118001,Pendidikan Agama I,2,2025-05-26 07:43:07.517818+00,113,8,2025-05-26 08:32:05.268397,1,1,,,,
1041,3,1,13218103,Kimia Dasar,2,2025-05-26 07:43:07.517818+00,119,59,2025-05-26 08:32:16.309125,1,1,,,,
1042,3,1,13218102,Fisika I,2,2025-05-26 07:43:07.517818+00,118,58,2025-05-26 08:32:27.44559,1,1,,,,
1044,3,3,13218303,Statistik Industri II,3,2025-05-26 07:43:07.517818+00,120,37,2025-05-26 08:36:40.714375,1,1,,,,
1045,3,3,13218304,Penelitian Operasional I,3,2025-05-26 07:43:07.517818+00,121,38,2025-05-26 08:36:50.036449,1,1,,,,
1046,3,3,13218308,Praktikum Statistik,1,2025-05-26 07:43:07.517818+00,122,37,2025-05-26 08:37:23.294363,1,1,,,,
937,1,1,11318106,Menggambar Teknik,2,2025-05-26 07:43:07.517818+00,1,33,2025-05-26 07:51:24.022882,2,1,,,,
940,1,1,11118102,Bahasa Inggris I,2,2025-05-26 07:43:07.517818+00,3,60,2025-05-26 07:52:53.384145,1,1,,,,
939,1,1,11118101,Agama ,2,2025-05-26 07:43:07.517818+00,2,8,2025-05-26 07:52:26.298294,1,1,,,,
1048,3,3,13218309,Ekonomi Teknik,2,2025-05-26 07:43:07.517818+00,124,22,2025-05-26 08:38:02.119835,1,1,,,,
1054,3,5,13818507,Simulasi Sistem Industri,2,2025-05-26 07:43:07.517818+00,130,23,2025-05-26 08:40:41.451334,1,1,,,,
1057,3,5,13718506,Manajemen Proyek,2,2025-05-26 07:43:07.517818+00,133,22,2025-05-26 08:41:34.965439,1,1,,,,
1062,3,5,14118510,Manajemen Lingkungan,2,2025-05-26 07:43:07.517818+00,138,59,2025-05-26 08:42:43.886599,1,1,,,,
1058,3,5,13418503,Perencanaan & Pengembangan Produk,2,2025-05-26 07:43:07.517818+00,134,5,2025-05-26 08:41:46.895768,1,1,,,,
1059,3,5,14018509,Praktikum Sistem Produksi,1,2025-05-26 07:43:07.517818+00,135,19,2025-05-26 08:42:02.594005,1,1,,,,
1061,3,5,13218501,Sistem Informasi Manajemen,2,2025-05-26 07:43:07.517818+00,137,22,2025-05-26 08:42:29.716335,1,1,,,,
1063,3,5,13518504,Analisis Keputusan,2,2025-05-26 07:43:07.517818+00,139,9,2025-05-26 08:42:56.550236,1,1,,,,
1072,3,7,13215703,Analisis Kelayakan Usaha,2,2025-05-26 07:43:07.517818+00,144,28,2025-05-26 08:46:56.769094,1,1,,,,
1073,3,7,13215701,Keselamatan Kerja,2,2025-05-26 07:43:07.517818+00,145,10,2025-05-26 08:47:06.71321,1,1,,,,
1074,3,7,13415704,Bahasa Indonesia & Tata Tulis,3,2025-05-26 07:43:07.517818+00,146,19,2025-05-26 08:47:16.366134,1,1,,,,
1076,3,7,13315904,Manajemen Strategi,2,2025-05-26 07:43:07.517818+00,148,9,2025-05-26 08:47:43.798011,1,1,,,,
1077,3,1,13118007,Bahasa Inggris I,2,2025-05-26 07:43:07.517818+00,111,15,2025-05-26 08:49:43.046087,2,1,,,,
1078,3,1,13218104,Pengantar Ilmu Ekonomi,2,2025-05-26 07:43:07.517818+00,112,19,2025-05-26 08:49:52.466357,2,1,,,,
1080,3,1,13218105,Menggambar Teknik,2,2025-05-26 07:43:07.517818+00,114,57,2025-05-26 08:50:29.334269,2,1,,,,
1081,3,1,13218101,Kalkulus I,3,2025-05-26 07:43:07.517818+00,115,3,2025-05-26 08:50:41.058746,2,1,,,,
1083,3,1,13218102,Fisika I,2,2025-05-26 07:43:07.517818+00,118,58,2025-05-26 08:51:02.056487,2,1,,,,
1084,3,1,13218103,Kimia Dasar,2,2025-05-26 07:43:07.517818+00,119,59,2025-05-26 08:51:14.601497,2,1,,,,
1085,3,1,13218106,Pengantar Teknik Industri,3,2025-05-26 07:43:07.517818+00,117,28,2025-05-26 08:51:27.360319,2,1,,,,
1087,3,3,13218304,Penelitian Operasional I,3,2025-05-26 07:43:07.517818+00,121,38,2025-05-26 08:51:57.703747,2,1,,,,
1088,3,3,13218308,Praktikum Statistik,1,2025-05-26 07:43:07.517818+00,122,37,2025-05-26 08:52:08.55378,2,1,,,,
1089,3,3,13218305,Organisasi dan Manajemen,2,2025-05-26 07:43:07.517818+00,123,21,2025-05-26 08:52:18.92231,2,1,,,,
1091,3,3,13218302,Matematika Optimasi,3,2025-05-26 07:43:07.517818+00,125,32,2025-05-26 08:52:42.311409,2,1,,,,
1092,3,3,13218301,Ergonomi,2,2025-05-26 07:43:07.517818+00,126,5,2025-05-26 08:52:52.896292,2,1,,,,
1093,3,3,13218306,Analisis & Perancangan Kerja,3,2025-05-26 07:43:07.517818+00,127,5,2025-05-26 08:53:04.162632,2,1,,,,
1095,3,3,13218303,Statistik Industri II,3,2025-05-26 07:43:07.517818+00,120,37,2025-05-26 08:53:52.532106,2,2,,,,
1096,3,3,13218304,Penelitian Operasional I,3,2025-05-26 07:43:07.517818+00,121,38,2025-05-26 08:54:00.816013,2,2,,,,
1097,3,3,13218308,Praktikum Statistik,1,2025-05-26 07:43:07.517818+00,122,37,2025-05-26 08:54:09.783767,2,2,,,,
1099,3,3,13218309,Ekonomi Teknik,2,2025-05-26 07:43:07.517818+00,124,22,2025-05-26 08:54:49.166697,2,2,,,,
1100,3,3,13218302,Matematika Optimasi,3,2025-05-26 07:43:07.517818+00,125,32,2025-05-26 08:55:01.965254,2,2,,,,
1101,3,3,13218301,Ergonomi,2,2025-05-26 07:43:07.517818+00,126,5,2025-05-26 08:55:11.73092,2,2,,,,
1103,3,3,13218307,Praktikum Program Komputer,1,2025-05-26 07:43:07.517818+00,128,32,2025-05-26 08:55:41.515787,2,2,,,,
1104,3,5,13918508,Sistem Manufaktur,2,2025-05-26 07:43:07.517818+00,129,23,2025-05-26 08:56:38.633608,2,1,,,,
