hari,id_dosen,id_jadwal,id_kelas,id_matkul,id_waktu,jam_akhir,jam_mulai,prodi,ruangan,semester,sks
"2","60","594","1","3","2","1160","1080","1","1","1","2"
"2","61","601","1","7","2","1280","1160","1","1","1","3"
"2","11","711","1","171","1","560","480","3","12","7","2"
"2","32","707","1","167","1","640","560","3","12","7","2"
"4","50","810","1","207","2","1200","1080","4","19","3","3"
"4","14","799","1","199","2","1320","1200","4","19","3","3"
"3","12","636","1","54","2","1160","1080","1","5","7","2"
"3","24","633","1","51","2","1280","1160","1","5","7","3"
"2","6","806","1","204","1","600","480","4","19","3","3"
"2","31","797","1","200","1","720","600","4","19","3","3"
"4","37","765","2","129","2","1200","1080","3","14","3","3"
"3","54","851","1","241","2","1160","1080","5","23","1","2"
"3","17","856","1","244","2","1320","1160","5","23","1","4"
"4","41","865","1","248","2","1200","1080","5","23","1","3"
"4","41","866","1","248","2","1320","1200","5","23","1","3"
"1","56","896","1","287","1","600","480","5","25","7","3"
"1","28","769","1","168","2","1160","1080","3","12","7","2"
"1","11","772","1","171","2","1240","1160","3","12","7","2"
"1","10","770","1","169","2","1320","1240","3","12","7","2"
"3","51","802","1","202","2","1200","1080","4","19","3","3"
"3","31","801","1","201","2","1240","1200","4","19","3","1"
"3","40","809","1","206","2","1280","1240","4","19","3","1"
"1","47","626","1","38","2","1160","1080","1","3","5","2"
"1","33","628","1","40","2","1280","1160","1","3","5","3"
"2","11","778","2","171","2","1160","1080","3","13","7","2"
"2","9","779","2","172","2","1240","1160","3","13","7","2"
"2","10","776","2","169","2","1320","1240","3","13","7","2"
"1","43","873","1","261","1","600","480","5","18","3","3"
"1","17","880","1","264","1","720","600","5","18","3","3"
"2","31","800","1","200","2","1200","1080","4","19","3","3"
"2","40","808","1","205","2","1320","1200","4","19","3","3"
"3","22","745","1","155","2","1160","1080","3","11","5","2"
"3","59","747","1","157","2","1240","1160","3","11","5","2"
"3","19","746","1","156","2","1280","1240","3","11","5","1"
"3","3","785","1","185","2","1200","1080","4","16","1","3"
"3","8","780","1","183","2","1280","1200","4","16","1","2"
"4","31","888","1","276","2","1200","1080","5","24","5","3"
"4","55","891","1","278","2","1320","1200","5","24","5","3"
"4","51","804","1","202","1","600","480","4","19","3","3"
"2","30","596","1","4","1","600","480","1","1","1","3"
"2","46","603","1","8","1","720","600","1","1","1","3"
"2","14","646","1","71","2","1200","1080","2","7","1","3"
"2","15","640","1","65","2","1280","1200","2","7","1","2"
"2","20","642","1","67","2","1320","1280","2","7","1","1"
"5","55","893","1","279","1","600","480","5","24","5","3"
"3","40","672","1","105","2","1200","1080","2","6","5","3"
"3","14","667","1","100","2","1320","1200","2","6","5","3"
"1","17","857","1","244","1","640","480","5","23","1","4"
"1","48","655","1","70","1","600","480","2","7","1","3"
"1","40","647","1","62","1","720","600","2","7","1","3"
"4","27","793","1","189","2","1200","1080","4","16","1","3"
"1","60","593","1","3","1","560","480","1","1","1","2"
"1","13","599","1","6","1","640","560","1","1","1","2"
"1","59","597","1","5","1","720","640","1","1","1","2"
"1","58","608","2","18","2","1200","1080","1","2","3","3"
"1","61","609","2","19","2","1320","1200","1","2","3","3"
"1","21","727","1","134","2","1160","1080","3","8","3","2"
"1","37","722","1","129","2","1280","1160","3","8","3","3"
"1","32","725","1","132","2","1320","1280","3","8","3","1"
"3","40","811","1","205","1","600","480","4","19","3","3"
"3","51","805","1","203","1","640","600","4","19","3","1"
"3","31","798","1","201","1","680","640","4","19","3","1"
"3","40","812","1","206","1","720","680","4","19","3","1"
"3","32","775","2","167","2","1160","1080","3","13","7","2"
"3","32","768","1","167","2","1160","1080","3","12","7","2"
"3","33","589","1","1","1","560","480","1","1","1","2"
"3","8","590","1","2","1","640","560","1","1","1","2"
"4","41","864","1","248","1","600","480","5","23","1","3"
"4","31","862","1","247","1","720","600","5","23","1","3"
"4","9","696","1","150","1","560","480","3","11","5","2"
"4","59","706","1","157","1","640","560","3","11","5","2"
"4","49","788","1","186","1","600","480","4","16","1","3"
"1","62","848","2","235","2","1200","1080","4","20","7","3"
"1","7","843","2","233","2","1320","1200","4","20","7","3"
"1","23","755","2","148","2","1160","1080","3","15","5","2"
"1","37","750","2","154","2","1240","1160","3","15","5","2"
"1","19","752","2","156","2","1280","1240","3","15","5","1"
"3","9","748","2","152","2","1160","1080","3","15","5","2"
"3","23","756","2","149","2","1200","1160","3","15","5","1"
"3","5","758","2","151","2","1280","1200","3","15","5","2"
"3","31","884","1","274","2","1200","1080","5","24","5","3"
"3","49","885","1","275","2","1320","1200","5","24","5","3"
"3","23","693","1","147","1","560","480","3","11","5","2"
"3","9","700","1","152","1","640","560","3","11","5","2"
"3","23","695","1","149","1","680","640","3","11","5","1"
"3","44","621","1","33","2","1160","1080","1","3","5","2"
"3","12","624","1","36","2","1240","1160","1","3","5","2"
"1","35","674","1","112","1","560","480","3","9","1","2"
"1","28","678","1","116","1","680","560","3","9","1","3"
"1","3","717","1","115","2","1200","1080","3","9","1","3"
"1","28","718","1","116","2","1320","1200","3","9","1","3"
"4","5","729","1","136","2","1160","1080","3","8","3","2"
"2","4","878","1","263","2","1200","1080","5","18","3","3"
"2","43","874","1","261","2","1320","1200","5","18","3","3"
"5","18","853","1","242","2","1160","1080","5","23","1","2"
"5","17","860","1","246","2","1280","1160","5","23","1","3"
"3","43","868","1","258","1","640","480","5","18","3","4"
"1","5","698","1","151","1","560","480","3","11","5","2"
"1","37","702","1","154","1","640","560","3","11","5","2"
"1","19","704","1","156","1","680","640","3","11","5","1"
"2","54","850","1","241","1","560","480","5","23","1","2"
"2","43","858","1","245","1","680","560","5","23","1","3"
"1","27","666","1","99","2","1160","1080","2","6","5","2"
"1","50","668","1","101","2","1280","1160","2","6","5","3"
"1","16","870","1","259","2","1200","1080","5","18","3","3"
"1","55","879","1","264","2","1320","1200","5","18","3","3"
"2","45","658","1","82","2","1160","1080","2","10","3","2"
"2","40","662","1","86","2","1280","1160","2","10","3","3"
"2","14","656","1","71","1","600","480","2","7","1","3"
"2","15","650","1","65","1","680","600","2","7","1","2"
"1","14","828","2","220","2","1200","1080","4","21","5","3"
"1","15","825","2","219","2","1280","1200","4","21","5","2"
"3","4","871","1","260","2","1200","1080","5","18","3","3"
"1","27","795","1","190","2","1120","1080","4","16","1","1"
"1","35","781","1","184","2","1200","1120","4","16","1","2"
"1","48","794","1","188","2","1320","1200","4","16","1","3"
"3","40","664","1","88","2","1200","1080","2","10","3","3"
"3","14","663","1","87","2","1320","1200","2","10","3","3"
"1","48","645","1","70","2","1200","1080","2","7","1","3"
"1","40","643","1","68","2","1280","1200","2","7","1","2"
"5","33","625","1","37","2","1200","1080","1","3","5","3"
"4","40","637","1","62","2","1200","1080","2","7","1","3"
"4","20","641","1","66","2","1280","1200","2","7","1","2"
"4","59","753","2","157","2","1160","1080","3","15","5","2"
"4","22","751","2","155","2","1240","1160","3","15","5","2"
"1","38","767","2","131","2","1200","1080","3","14","3","3"
"1","5","736","2","137","2","1320","1200","3","14","3","3"
"2","58","634","1","52","2","1200","1080","1","5","7","3"
